Naam;Type;URL;Beheerder;Adres;Postcode;Plaats;Aantal plaatsen;Latitude;Longitude;Bijzondere openingstijden;Opening Inrijden;Sluiting Inrijden;Opening Uitrijden;Sluiting Uitrijden;Dagprijs;opening_times;Inclusief OV;PrijsPerTijdseenheid;Tijdeenheid (min);Gratis minuten;Opmerkingen
Prins Hendrikkade;Parkeergarage;http://www.amsterdam.nl/parkeren;Capaciteit: 34 bussen en 125 auto's. Bel voor informatie 020-5868686;Prins Hendrikkade 120;1011AM;Amsterdam;;52.3742653;4.9047456;Onbekend;;;;;;;Nee;;;0;
Markenhoven;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_centrum/markenhoven/;Parkeergebouwen garage Markenhoven;Anne Frankstraat 220;1011 MP;Amsterdam;;52.3697771;4.9087077;;0:00;0:00;0:00;0:00;47.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;7;0;
(P1) Parking Waterlooplein;Parkeergarage;http://www.p1.nl/parkeren/p1-parking-waterlooplein/;P1 Parking Waterlooplein;Valkenburgerstraat 238;1011ND;Amsterdam;;52.3673221;4.901786;Inmiddels van Parkking;7:00;1:00;0:00;0:00;30.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""0100"", close_out : ""0000""}]}";Nee;5.00;60;0;
Stadhuis - Muziektheater;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_centrum/item_337225/;Parkeergebouwen garage Stadhuis - Muziektheater;Waterlooplein 28;1011PG;Amsterdam;;52.3670615;4.9018035;;0:00;0:00;0:00;0:00;47.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;7;0;
Geelvinck;Parkeergarage;http://www.apcoa.nl/nl/zoek-een-parkeergarage/details/name/PARKEERGARAGE%20GEELVINCK/apcoa/704/city/AMSTERDAM.html?no_cache=1;Apcoa garage Geelvinck;Singel 540;1017AZ;Amsterdam;;52.3666901;4.8922646;"Maandag - Donderdag 07:00 - 02:00
Vrijdag 07:00 - 06:00
Zaterdag 09:00 - 06:00
Zondag 09:30 - 02:00";7:00;2:00;7:00;2:00;45.00;"opening_times : {default : [{days : ""0"" , open_in : ""0930"", open_out : ""0930"", close_in : ""0200"", close_out : ""0200""},{days : ""1-4"" , open_in : ""0700"", open_out : ""0700"", close_in : ""0200"", close_out : ""0200""},{days : ""5"" , open_in : ""0700"", open_out : ""0700"", close_in : ""0600"", close_out : ""0600""},{days : ""6"" , open_in : ""0900"", open_out : ""0600"", close_in : ""0900"", close_out : ""0600""}]}";Nee;4.50;60;0;
Qpark De Bijenkorf;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/609;Qpark De Bijenkorf;Beursplein 15;1012JW;Amsterdam;;52.3742684;4.895613;;0:00;0:00;0:00;0:00;50.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;21;0;
Qpark De Kolk;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/1691;Qpark De Kolk;Nieuwezijds Kolk 18;1012PV;Amsterdam;;52.376361;4.8945939;;0:00;0:00;0:00;0:00;52.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;20;0;
(P1) Parking Amsterdam Centre;Parkeergarage;http://www.p1.nl/parkeren/p1-parking-amsterdam-centre/;P1 Parking Amsterdam Centre;Prins Hendrikkade 20 a;1012TL;Amsterdam;;52.3785602;4.896243;;0:00;0:00;0:00;0:00;55.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;5.00;60;0;
Heinekenplein;Parkeergarage;http://www.apcoa.nl/nl/zoek-een-parkeergarage/details/name/PARKEERGARAGE%20HEINEKENPLEIN/apcoa/705/city/AMSTERDAM.html?no_cache=1;Apcoa garage Heinekenplein;Eerste Van der Helststraat 6;1072NV;Amsterdam;;52.3577665;4.8927011;;0:00;0:00;0:00;0:00;42.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.30;30;0;
Qpark Museumplein;Parkeergarage;http://www.q-park.nl/language/nl-nl/nl/parkeren-bij-q-park/per-stad/qparkparkinglocatorvw1094/parkingdetail/parkingid/611;Qpark Museumplein;Van Baerlestraat 33 B;1071AP;Amsterdam;;52.3572251;4.8794388;Op do, vr, za inrijden tot 2:30;7:00;1:00;0:00;0:00;50.00;"opening_times : {default : [{days : ""0-3"" , open_in : ""0700"", open_out : ""0000"", close_in : ""0100"", close_out : ""0000""},{days : ""4-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""0230"", close_out : ""0000""}]}";Nee;2.00;20;0;
P 4 (Villa ArenA);Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_arenapoort/p4-villa_arena/;Parkeergebouwen P4-Villa ArenA;De entree 7;1101BH;Amsterdam;;52.3109973;4.9391216;;0:00;0:00;0:00;0:00;24.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.00;25;0;
P5-Villa ArenA;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_arenapoort/p5-villa_arena/;Parkeergebouwen P5-Villa ArenA;De entree 7;1101BH;Amsterdam;;52.3109973;4.9391216;;0:00;0:00;0:00;0:00;24.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.00;25;0;
P 6 (Pathé ArenA);Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_arenapoort/p6-pathe-arena/;Parkeergebouwen P6-Pathé ArenA;De corridor 15;1101BC;Amsterdam;;52.3116886;4.9455507;;0:00;0:00;0:00;0:00;24.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.00;25;0;
Qpark Symphony;Parkeergarage;http://www.q-park.nl/nl/parkeren-bij-q-park/per-stad/amsterdam/symphony;Qpark Symphony;Leo Smitstraat 4;1082 MP;Amsterdam;;52.3360136;4.8750552;;0:00;0:00;0:00;0:00;48.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;2.00;21;0;
Parkeergarage Gelderlandplein;Parkeergarage;http://parkking.nl/incl/parkeergelderlandplein.html;Parkeergarage Gelderlandplein;Van Leijenberghlaan 43;1082 GC;Amsterdam;820;52.3285782;4.8794138;Zondag inrijden: 10:00 - 20:00;7:30;23:00;0:00;0:00;15.00;"opening_times : {default : [{days : ""0"" , open_in : ""1000"", open_out : ""0000"", close_in : ""2000"", close_out : ""0000""},{days : ""1-6"" , open_in : ""0730"", open_out : ""0000"", close_in : ""2300"", close_out : ""0000""}]}";Nee;1.00;60;90;Eerste 90 minuten gratis
Parkeergarage Osdorpplein;Parkeergarage;http://parkking.nl/incl/parkeerOsdorpplein.html;Parkeergarage Osdorpplein;Osdorpplein 249;1068 ER;Amsterdam;450;52.3600676;4.8053656;don/vrij inrijden: 7:30 - 21:30;7:30;20:30;0:00;0:00;10.00;"opening_times : {default : [{days : ""0-3"" , open_in : ""0730"", open_out : ""0000"", close_in : ""2030"", close_out : ""0000""},{days : ""4-5"" , open_in : ""0730"", open_out : ""0000"", close_in : ""2130"", close_out : ""0000""},{days : ""6"" , open_in : ""0730"", open_out : ""0000"", close_in : ""2030"", close_out : ""0000""}]}";Nee;0.50;30;0;
Parkeergarage The Bank, Rembrandtplein;Parkeergarage;http://parkking.nl/incl/parkeerthebank.html;Parkeergarage The Bank, Rembrandtplein;Amstelstraat 12;1017 DA;Amsterdam;110;52.3661152;4.8985463;;0:00;0:00;0:00;0:00;50.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;5.00;60;0;
Parkeergarage Molukkenstraat;Parkeergarage;http://parkking.nl/incl/parkeermolukkenstraat.html;Parkeergarage Molukkenstraat;Molukkenstraat 190;1098 TW;Amsterdam;80;52.3579546;4.9399965;;9:00;21:00;0:00;0:00;20.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0900"", open_out : ""0000"", close_in : ""2100"", close_out : ""0000""}]}";Nee;2.40;60;0;
Parkeergarage Middenweg;Parkeergarage;http://parkking.nl/incl/parkeermiddenweg.html;Parkeergarage Middenweg;Middenweg 69;1097 BR;Amsterdam;90;52.3477554;4.9400922;Zondag: 9:30 - 19:30;7:30;21:30;7:30;21:30;30.00;"opening_times : {default : [{days : ""0"" , open_in : ""0930"", open_out : ""0930"", close_in : ""1930"", close_out : ""1930""},{days : ""1-6"" , open_in : ""0730"", open_out : ""0730"", close_in : ""2130"", close_out : ""2130""}]}";Nee;4.50;60;120;Eerste twee uur gratis
Willemspoort Garage;Parkeergarage;http://www.amsterdam.nl/parkeergebouwen/onze-garages/amsterdam_centrum/willemspoort/;Parkeergebouwen Willemspoort;Haarlemmer Houttuinen 549;1013GM;Amsterdam;;52.3848016;4.8849266;;0:00;0:00;0:00;0:00;47.50;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;0.50;7;0;
;;;;;;;;;;;;;;;;;;;;;
Niet genoemd in dataset DIVV, wel op website Parkeeraanbieders;;;;;;;;;;;;;;;;;;;;;
Qpark Bos en Lommer;Parkeergarage;Qpark;;;;;;;;;7:00;22:00;0:00;0:00;12.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0000"", close_in : ""2200"", close_out : ""0000""}]}";Nee;0.50;10;0;
Qpark P+R Comeniusstraat;Parkeergarage;Qpark;;;;;;;;;0:00;0:00;0:00;0:00;8.55;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;1.40;60;0;
Antarctica;Parkeergarage;http://www.apcoa.nl/nl/vind-een-parkeerlocatie/details/name/ANTARCTICA/apcoa/707/city/AMSTERDAM.html?no_cache=1;Apcoa;Hoogoorddreef 3;1101BA;Amsterdam;;;;Zaterdag/zondag: 12:00 - 22:00;7:00;22:00;7:00;22:00;20.00;"opening_times : {default : [{days : ""0"" , open_in : ""1200"", open_out : ""1200"", close_in : ""2200"", close_out : ""2200""},{days : ""1-5"" , open_in : ""0700"", open_out : ""0700"", close_in : ""2200"", close_out : ""2200""},{days : ""6"" , open_in : ""1200"", open_out : ""1200"", close_in : ""2200"", close_out : ""2200""}]}";Nee;2.55;60;0;
Flowparking;Parkeergarage;http://www.apcoa.nl/nl/vind-een-parkeerlocatie/details/name/FLOWPARKING/apcoa/1794/city/AMSTERDAM.html?no_cache=1;Apcoa;Gelrestraat 2;1097MZ;Amsterdam;;;;;7:00;23:00;7:00;23:00;12.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0700"", open_out : ""0700"", close_in : ""2300"", close_out : ""2300""}]}";Nee;3.00;60;0;Eerste 2 uur = EUR 1.00 per 30 min.
Geuzenpoort;Parkeergarage;http://parkking.nl/incl/parkeergeuzenpoort.html;Parkking;Nolensstraat 352;1067KP;Amsterdam;;;;Zondag: 10:00 - 19:30;8:00;20:30;8:00;20:30;24.00;"opening_times : {default : [{days : ""0"" , open_in : ""1000"", open_out : ""1000"", close_in : ""1930"", close_out : ""1930""},{days : ""1-6"" , open_in : ""0800"", open_out : ""0800"", close_in : ""2030"", close_out : ""2030""}]}";Nee;1.00;60;0;
Ijdock;Parkeergarage;http://parkking.nl/incl/parkeerijdock.html;Parkking;Ijdok 33;1013MM;Amsterdam;;;;;0:00;0:00;0:00;0:00;50.00;"opening_times : {default : [{days : ""0-6"" , open_in : ""0000"", open_out : ""0000"", close_in : ""0000"", close_out : ""0000""}]}";Nee;5.00;60;0;
Bijv. Brazilië;;;;;;;;;;;;;;;;;;;;;
